Problem size:
            NP: 1

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1      2.62     2.693

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1      2.62     2.693      2.62     2.693      2.62     2.693
Binaryrepart........      1         0  0.000236         0  0.000236         0  0.000236
Boundingbox.........      1         0   7.1e-05         0   7.1e-05         0   7.1e-05
Boundingbox-bounds..      1         0   1.3e-05         0   1.3e-05         0   1.3e-05
Boundingbox-update..      1         0     6e-06         0     6e-06         0     6e-06
Compute Statistics..      1      0.04     0.069      0.04     0.069      0.04     0.069
Create Distr........      1         0         0         0         0         0         0
Dump................      1      1.36     1.406      1.36     1.406      1.36     1.406
Fast inside test....      1         0         0         0         0         0         0
Frametransform......      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Integration.........      1      0.66    0.5754      0.66    0.5754      0.66    0.5754
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
Secondary emission..      1         0         0         0         0         0         0
SelfField total.....      1         0         0         0         0         0         0
Write H5-File.......      1         0         0         0         0         0         0
Write Stat..........      1      1.25       1.3      1.25       1.3      1.25       1.3
