Problem size:
            NP: 1

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1      0.42    0.4973

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1      0.42    0.4973      0.42    0.4973      0.42    0.4973
Binaryrepart........      1         0  0.001026         0  0.001026         0  0.001026
Boundingbox.........      1         0   6.4e-05         0   6.4e-05         0   6.4e-05
Boundingbox-bounds..      1         0   1.1e-05         0   1.1e-05         0   1.1e-05
Boundingbox-update..      1         0     5e-06         0     5e-06         0     5e-06
Compute Statistics..      1      0.01  0.007693      0.01  0.007693      0.01  0.007693
Create Distr........      1         0         0         0         0         0         0
Dump................      1      0.16    0.1866      0.16    0.1866      0.16    0.1866
Fast inside test....      1         0         0         0         0         0         0
Frametransform......      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Integration.........      1      0.15    0.1461      0.15    0.1461      0.15    0.1461
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
Secondary emission..      1         0         0         0         0         0         0
SelfField total.....      1         0         0         0         0         0         0
Write H5-File.......      1         0         0         0         0         0         0
Write Stat..........      1      0.06    0.1094      0.06    0.1094      0.06    0.1094
