Problem size:
            NP: 1

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1      0.09     0.147

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1      0.09     0.147      0.09     0.147      0.09     0.147
Binaryrepart........      1         0  0.001067         0  0.001067         0  0.001067
Boundingbox.........      1         0   7.9e-05         0   7.9e-05         0   7.9e-05
Boundingbox-bounds..      1         0   1.5e-05         0   1.5e-05         0   1.5e-05
Boundingbox-update..      1         0     6e-06         0     6e-06         0     6e-06
Compute Statistics..      1         0   0.00051         0   0.00051         0   0.00051
Create Distr........      1         0         0         0         0         0         0
Dump................      1         0   0.01305         0   0.01305         0   0.01305
Fast inside test....      1         0         0         0         0         0         0
Frametransform......      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Integration.........      1      0.01  0.009416      0.01  0.009416      0.01  0.009416
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
Secondary emission..      1         0         0         0         0         0         0
SelfField total.....      1         0         0         0         0         0         0
Write H5-File.......      1         0         0         0         0         0         0
Write Stat..........      1         0  0.008468         0  0.008468         0  0.008468
