% Model:              cyclotron_simulation (1).mph
% Version:            COMSOL 6.3.0.420
% Date:               Jun 4 2025, 13:40
% Dimension:          3
% Nodes:              3890
% Expressions:        1
% Description:        Magnetic flux density, z-component
% Length unit:        in
% x                       y                        z                        mf.Bz (T)
-125                      -1.2434497875801753E-14  -48.59705050212191       1.8969539745168628E-5
-119.10910327717173       0                        -49.62921979112981       -1.3686690580902678E-5
-122.08655001648468       0                        -53.433983535168366      5.95577237636202E-5
-125                      8.881784197001252E-16    -57.39803366808128       3.472088195890572E-5
-116.97112179763297       -2.220446049250313E-16   -39.815730789054754      8.625712943415549E-5
-117.94112457619009       0                        -43.0051128112821        -5.4777121051931724E-5
-116.17485486757883       0                        -42.52383178776675       3.0308029681999654E-5
-125                      0                        -39.79606733616258       4.5784431810374486E-5
-119.88269772704462       2.220446049250313E-16    -42.95892372034457       -3.634422112231811E-5
-118.01966425581097       0                        -45.178455700657324      -4.413251610057008E-5
-125                      -3.9968028886505635E-15  -66.19901683404065       1.0578860211514497E-5
-121.08939796017742       2.220446049250313E-16    -60.18503619732131       6.43023882588019E-5
-113.78232830503148       4.440892098500626E-16    -48.50288049238437       1.8858316925317263E-5
-114.50390400525801       2.220446049250313E-16    -45.71132148218687       4.880916863451926E-5
-111.08559185282013       2.220446049250313E-16    -47.41419091678109       5.298981931158235E-6
-117.22729419233735       0                        -54.31038184403183       -7.891446345115334E-6
-119.61197410374312       2.220446049250313E-16    -57.07187171014881       1.5716300746027647E-6
-117.94924291718871       4.440892098500626E-16    -59.24269981412361       4.312713079591731E-5
-113.37307275067725       0                        -51.68846358470269       -4.0068362564919185E-5
-115.63690686180502       0                        -56.96133591675623       2.2108672173539183E-5
-125                      -6.394884621840902E-14   -30.995084170203206      -1.78351529049484E-5
-121.18077657542965       0                        -38.88994050544267       -4.904911587920598E-5
-116.02910832546422       -2.220446049250313E-16   -35.34342090780393       5.735655360645582E-5
-114.40055056699839       -2.220446049250313E-16   -35.49554219049473       -4.149162166878674E-5
-111.60711169983077       0                        -37.919692603855324      2.918924304417694E-5
-113.45046667221382       0                        -38.87804895882434       -7.669467380823961E-5
-110.30921509795964       2.220446049250313E-16    -45.01406250234115       -6.442465050164884E-5
-110.14771931762311       -4.440892098500626E-16   -40.624729367507896      -1.709749790139322E-5
-111.91755541565507       0                        -41.36378390400145       -2.4344949370607718E-5
-108.0663026504653        -2.220446049250313E-16   -41.7157533606638        9.253163106924613E-5
-114.6675035427296        2.220446049250313E-16    -33.43410124116917       -3.292672546242766E-5
-116.19972883979327       2.220446049250313E-16    -31.655854432174056      -4.950445333178074E-6
-114.96101407438226       4.440892098500626E-16    -28.132945814272873      4.568106082861557E-5
-112.81922028264702       2.220446049250313E-16    -29.7721436387013        -1.696648372560659E-5
-108.99999999999999       -3.552713678800501E-15   -36                      5.51986758822394E-5
